"Kaufdatum";"SKU";"Einheit";"St. Frei Betrag";"Einkauf Bemerkung";"Verkaufsdatum";"Verkaufsbetrag";"Verkauf Bemerkung";"Zu besteuernder Betrag";"Rechnung Nr."
"29.12.2025";"TG012030";"10g";"1221,66";"";"19.01.2026";"1467,00";"";"245,34";"18407"
"29.12.2025";"TG012030";"10g";"1221,66";"";"19.01.2026";"1467,00";"";"245,34";"18406"
"29.12.2025";"TG012030";"10g";"1221,66";"";"16.01.2026";"1451,00";"";"229,34";"18402"
"29.12.2025";"TG012030";"10g";"1221,66";"";"16.01.2026";"1467,00";"";"245,34";"18394"
"29.12.2025";"TG012030";"10g";"1221,66";"";"16.01.2026";"1467,00";"";"245,34";"18394"
"29.12.2025";"TG012030";"10g";"1221,66";"";"16.01.2026";"1467,00";"";"245,34";"18394"
"29.12.2025";"TG012030";"5g";"615,36";"";"27.01.2026";"715,00";"";"99,64";"18439"
"29.12.2025";"TG012030";"5g";"615,36";"";"26.01.2026";"792,00";"";"176,64";"18434"
"29.12.2025";"TG012030";"5g";"615,36";"";"25.01.2026";"794,90";"";"179,54";"18425"
"29.12.2025";"TG012030";"5g";"615,36";"";"25.01.2026";"794,90";"";"179,54";"18426"
"29.12.2025";"TG012030";"";"1893,32";"";"30.12.2025";"2089,00";"1/2oz 0,86€ Porto der Rest der Bestellung 0,66€ Porto inbegriffen";"195,68";"18359"
"15.01.2026";"TG012049";"100g";"13528,95";"eBay tableta-34 auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"15.01.2026";"13528,95";"Unbestätigte Adresse";"";"18422"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"";"";"";"";""
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"";"";"";"";""
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"16.02.2026";"150,00";"";"13,43";"18510"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"Aus Retoure mit Rechnungsnummer 18414";"10.02.2026";"155,00";"";"18,43";"18495"
"16.01.2026";"TG012034";"1g";"136,57";"";"28.01.2026";"151,40";"";"14,83";"18443"
"16.01.2026";"TG012034";"1g";"136,57";"";"28.01.2026";"151,40";"";"14,83";"18443"
"16.01.2026";"TG012034";"1g";"136,57";"";"28.01.2026";"151,40";"";"14,83";"18443"
"16.01.2026";"TG012034";"1g";"136,57";"";"12.01.2026";"160,80";"";"24,23";"18409"
"16.01.2026";"TG012034";"1g";"136,57";"";"19.01.2026";"160,80";"";"24,23";"18408"
"16.01.2026";"TG012034";"1g";"136,57";"";"19.01.2026";"155,85";"";"19,28";"18405"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"160,80";"2x 1g in einer Bestellung (Hier Portokosten berechent 5,90Euro)";"24,23";"18417"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"2x 1g in einer Bestellung (Hier keine Portokosten berechent)";"18,33";"18417"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"160,80";"Retoure 12x 1g in einer Bestellung (Hier Porto berechnet 5,90Euro)";"24,23";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure  12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure  12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure  12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure  12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure  12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure 12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure 12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure 12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure 12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure 12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012034";"1g";"136,57";"";"21.01.2026";"154,90";"Retoure 12x 1g in einer Bestellung (Hier kein Porto berechnet)";"18,33";"18414"
"16.01.2026";"TG012033";"2g";"265,54";"";"26.01.2026";"315,00";"";"49,46";"18456"
"16.01.2026";"TG012032";"10g";"1292,10";"";"24.01.2026";"1400,00";"";"107,90";"18420"
"16.01.2026";"TG012032";"10g";"1292,10";"";"26.01.2026";"1567,00";"";"274,90";"18435"
"16.01.2026";"TG012032";"10g";"1292,10";"";"26.01.2026";"1567,00";"";"274,90";"18435"
"16.01.2026";"TG012031";"1/2oz";"2002,58";"";"16.01.2026";"2246,95";"";"244,37";"18393"
"17.01.2026";"TG012027";"1/4oz";"935,92";"Artikel aus Retoure mit Rechnungsnummer 18421";"19.02.2026";"1055,00";"";"119,08";"18521"
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"";"";"";"";""
"19.01.2026";"TG012037";"1g";"139,43";"";"28.01.2026";"151,40";"";"11,97";"18443"
"19.01.2026";"TG012037";"1g";"139,43";"";"28.01.2026";"151,40";"";"11,97";"18443"
"19.01.2026";"TG012036";"100g";"12973,00";"";"16.01.2026";"13025,00";"";"52,00";"18398"
"19.01.2026";"TG012035";"1oz";"4044,18";"auf Bestellung";"16.01.2026";"4060,00";"";"15,82";"18399"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"01.03.2026";"25,50";"Ein erster Test";"3,98";"556677"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"01.03.2026";"22,22";"Noch ein Test mit 2 Artikeln";"0,70";"776655"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"01.03.2026";"32,20";"WIE GEHTS DENN SO?";"10,68";"88998899"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"01.03.2026";"26,20";"Ein erster Test";"4,68";"0815007"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"03.03.2026";"25,65";"";"4,13";"9876543"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"";"";"";"";""
"21.01.2026";"TG012040";"0,1g";"21,52";"";"21.02.2026";"26,69";"";"5,17";"18531"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"21.02.2026";"26,60";"";"5,08";"18531"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"21.02.2026";"28,90";"";"7,38";"18532"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"18.02.2026";"32,50";"";"10,98";"18518"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"08.02.2026";"33,80";"";"12,28";"18478"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"08.02.2026";"33,80";"";"12,28";"18477"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"03.02.2026";"31,99";"";"10,47";"18470"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"31.01.2026";"34,95";"";"13,43";"18458"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"31.01.2026";"27,00";"";"5,48";"18454"
"21.01.2026";"TG012040";"0,1g";"21,52";"";"31.01.2026";"27,00";"";"5,48";"18453"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"";"";"";"";""
"21.01.2026";"TG012039";"0,5g";"72,56";"";"22.02.2026";"94,80";"";"22,24";"18537"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"70,00";"";"-2,56";"18523"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"70,00";"";"-2,56";"18523"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"70,00";"";"-2,56";"18523"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"19.02.2026";"74,00";"";"1,44";"18522"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"18.02.2026";"90,39";"";"17,83";"18519"
"21.01.2026";"TG012039";"0,5g";"72,56";"";"31.01.2026";"75,90";"";"3,34";"18454"
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"";"";"";"";""
"21.01.2026";"TG012038";"1/50oz";"97,72";"";"31.01.2026";"106,79";"";"9,07";"18455"
"22.01.2026";"TG012042";"0,5g";"74,44";"";"01.03.2026";"80,00";"Ein erster Test";"5,56";"556677"
"22.01.2026";"TG012042";"0,5g";"74,44";"";"01.03.2026";"75,50";"Noch ein Test mit 2 Artikeln";"1,06";"776655"
"22.01.2026";"TG012042";"0,5g";"74,44";"";"03.03.2026";"82,00";"";"7,56";"9876543"
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012042";"0,5g";"74,44";"";"29.01.2026";"80,21";"";"5,77";"18448"
"22.01.2026";"TG012042";"0,5g";"74,44";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"";"";"";"";""
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"31.01.2026";"74,90";"";"22,94";"18458"
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"31.01.2026";"53,50";"";"1,54";"18454"
"22.01.2026";"TG012041";"1/100oz";"51,96";"";"31.01.2026";"59,00";"";"7,04";"18453"
"24.01.2026";"TG012050";"1oz";"4649,00";"auf Bestellung, vom Kunden kauf Abgebrochen (bevor wir selbst beim Händler bestellt haben).";"24.01.2026";"4649,00";"Hier kein Porto berechnet";"";"18421"
"24.01.2026";"TG012048";"5g";"702,56";"";"16.02.2026";"730,00";"";"27,44";"18510"
"24.01.2026";"TG012047";"1/10oz";"447,27";"";"01.03.2026";"466,98";"TEST TEST TEST";"19,71";"878787"
"24.01.2026";"TG012047";"1/10oz";"447,27";"";"13.02.2026";"447,27";"Entnahmeschein 13";"";""
"24.01.2026";"TG012046";"4x 0,5g";"290,80";"";"21.02.2026";"299,00";"";"8,20";"18533"
"24.01.2026";"TG012045";"1/200oz";"29,32";"";"";"";"";"";""
"24.01.2026";"TG012045";"1/200oz";"29,32";"";"13.02.2026";"29,32";"Entnahmeschein 13";"";""
"24.01.2026";"TG012045";"1/200oz";"29,32";"";"11.02.2026";"33,00";"";"3,68";"18497"
"24.01.2026";"TG012044";"1/100oz";"52,49";"";"01.03.2026";"67,10";"WIE GEHTS DENN SO?";"14,61";"88998899"
